lemma,frequency_rank,frequency_set,part_of_speech,is_function_word,first_letter_unit,last_letter_unit,is_dead_end
biti,1,1,AUX,0,b,i,0
da,2,1,PART,1,d,a,0
sebe,3,1,PRON,0,s,e,0
taj,4,1,DET,0,t,j,0
ne,5,1,PART,1,n,e,0
i,6,1,CCONJ,1,i,i,0
u,7,1,ADP,0,u,u,0
htjeti,8,1,AUX,0,h,i,0
ti,9,1,PRON,0,t,i,0
sam,10,1,ADJ,0,s,m,0
što,11,1,PRON,0,š,o,0
on,12,1,PRON,0,o,n,0
ja,13,1,PRON,0,j,a,0
mi,14,1,PRON,0,m,i,0
na,15,1,ADP,0,n,a,0
moći,16,1,VERB,0,m,i,0
sa,17,1,ADP,0,s,a,0
za,18,1,ADP,0,z,a,0
li,19,1,PART,1,l,i,0
znati,20,1,VERB,0,z,i,0
ovaj,21,1,DET,0,o,j,0
imati,22,1,VERB,0,i,i,0
ali,23,1,CCONJ,1,a,i,0
vi,24,1,PRON,0,v,i,0
sav,25,1,ADJ,0,s,v,0
koji,26,1,DET,0,k,i,0
reći,27,1,VERB,0,r,i,0
misliti,28,1,VERB,0,m,i,0
moj,29,1,DET,0,m,j,0
dobro,30,1,ADV,0,d,o,0
samo,31,1,ADV,0,s,o,0
od,32,1,ADP,0,o,d,0
a,33,1,CCONJ,1,a,a,0
morati,34,1,VERB,0,m,i,0
oni,35,1,PRON,0,o,i,0
kako,36,1,ADV,0,k,o,0
željeti,37,1,VERB,0,ž,i,0
o,38,1,ADP,0,o,o,0
vidjeti,39,1,VERB,0,v,i,0
trebati,40,1,VERB,0,t,i,0
ako,41,1,SCONJ,1,a,o,0
ići,42,1,VERB,0,i,i,0
kao,43,1,SCONJ,1,k,o,0
raditi,44,1,VERB,0,r,i,0
tako,45,1,ADV,0,t,o,0
ovdje,46,1,ADV,0,o,e,0
svoj,47,1,DET,0,s,j,0
čovjek,48,1,NOUN,0,č,k,0
mnogo,49,1,ADV,0,m,o,0
tvoj,50,1,DET,0,t,j,0
pa,51,1,CCONJ,1,p,a,0
zašto,52,1,ADV,0,z,o,0
red,53,1,NOUN,0,r,d,0
nemati,54,1,VERB,0,n,i,0
jedan,55,1,NUM,0,j,n,0
nešto,56,1,PRON,0,n,o,0
još,57,1,ADV,0,j,š,0
kad,58,1,ADV,0,k,d,0
tko,59,1,PRON,0,t,o,0
doći,60,1,VERB,0,d,i,0
hvala,61,1,NOUN,0,h,a,0
iz,62,1,ADP,0,i,z,0
dobar,63,1,ADJ,0,d,r,0
