lemma,sentence_hr,sentence_hu,blank_offset
da,"Pomislit će,da je ovo raj.",You'll think this is heaven.,12
ne,"Dovraga,nikad ne misli na sebe.","Damn it, never think about yourself.",14
i,"Nije se trebao mješati,a bome i udarit.","He shouldn't have interfered, and hit too.",30
li,"Ti si vođa čopora,nisi li nas dovdje doveo?","You're the leader of the pack, aren't you the one who brought us here?",23
ali,"Ali,Kiba se ne može ni pomaknuti.",But Kiba can't even move.,0
a,"Nije se trebao mješati,a bome i udarit.","He shouldn't have interfered, and hit too.",23
ako,"Ako ulove te dečke,uvalit će ih tebi.","If they catch those boys, they'll dump them on you.",0
kao,Radit će kao psi.,They'll work like dogs.,9
pa,Nisam imao izbora pa sam sve pojeo.,I had no choice so I ate it all.,18
ili,Nije da brinem ili što...,It's not that I'm worried or anything...,15
zar,"još uvijek ćeš mi biti dobra prijateljica, zar ne?","We're still good friends, aren't we?",43
jer,došao sam jer mi je neugodno!,I came because I feel awkward!,10
ni,"Ali,Kiba se ne može ni pomaknuti.",But Kiba can't even move.,20
baš,Yoon ne pokazuje baš simptome.,Yoon isn't really showing symptoms.,17
nego,Bolje ovo nego da te spale zajedno sa smećem.,Better this than being burned with the trash.,10
dok,Cvijeće neće uvenuti sve dok ima mjeseca.,The flowers won't wilt as long as there's a moon.,25
neka,pa neka vas to ne zavara.,So don't let that fool you.,3
evo,"evo, obuci to.","Here, put it on.",0
no,"Okrenuo si se,no Cole je bila dovoljno dobra da nam donese hrane.","You turned away, but Cole was kind enough to bring us food.",14
čak,Čak iako smo krenuli za Pakao.,Even though we set off for Hell.,0
god,što god da kažem ne idem.,"Whatever I say, I'm not going.",4
dakle,"Dakle, vukovi se danas uhvate u zamke kao što je ova, ha?","So, wolves get caught in traps like this one nowadays, huh?",0
bar,bar bi si trebali reći 'zbogom'.,At least you should say goodbye.,0
tek,"da, zaspao je tek ujutro.","Yes, he only fell asleep in the morning.",14
niti,ne mogu se sjetiti niti jedne.,I can't think of a single one.,19
barem,barem 12 ljudi bi poludjelo od ljubomore!,At least a dozen people would go mad with jealousy!,0
čim,Moja će vas majka platiti čim se vratimo.,My mother will pay you as soon as we get back.,26
iako,Čak iako smo krenuli za Pakao.,Even though we set off for Hell.,4
jel,jel bilo dobro na selu?,Was it good in the countryside?,0
eto,-eto zato.,- That's why.,1
pošto,odvest ću te pošto ne smiješ voziti.,I'll drive you since you can't drive.,13
nek,Reci im nek' idu!,Tell them to go!,8
ukoliko,Znali su da će CIA poslati zračnu podršku ukoliko je ruta ugrožena.,They knew the CIA would send air support if the route was compromised.,42
mada,-Mada što?,- Although what?,1
premda,"I evo ga vjerodostojni student, premda tjelesno ne postoji.","And here's the honest student, even though he doesn't physically exist.",32
pak,Ja pak uopće ne volim gužve.,I don't like crowds at all.,3
negoli,A imaš ga više negoli zakon dopušta.,You have it more than the law allows.,15
