lemma,sentence_hr,sentence_hu,blank_offset
da,"Pomislit će,da je ovo raj.",Nem sok telik bele és már ez is paradicsom lesz számukra.,12
ne,"Dovraga,nikad ne misli na sebe.","Fenébe, Kiba mindig ilyen forrófejű ...",14
i,"Nije se trebao mješati,a bome i udarit.",Akkor sem kellett volna beleavatkoznia.,30
li,"Ti si vođa čopora,nisi li nas dovdje doveo?","Te vagy a falka vezére, nem te vezetsz minket ebbe az irányba?",23
ali,"Ali,Kiba se ne može ni pomaknuti.",De Kiba még nem tud menni.,0
a,"Nije se trebao mješati,a bome i udarit.",Akkor sem kellett volna beleavatkoznia.,23
ako,"Ako ulove te dečke,uvalit će ih tebi.","Ha elfogják azokat a kölyköket talán hozzád kerülnek, Zali.",0
kao,Radit će kao psi.,Itt úgy fognak dolgozni akár a kutyák.,9
pa,Nisam imao izbora pa sam sve pojeo.,"Így nem volt más lehetőségem, egyedül kellett megennem az egészet.",18
ili,Nije da brinem ili što...,"Nem mintha érdekelne, vagy valami ...",15
zar,"još uvijek ćeš mi biti dobra prijateljica, zar ne?","Akkor még barátok vagyunk, ugye?",43
jer,došao sam jer mi je neugodno!,Csak ezt szeretném!,10
ni,"Ali,Kiba se ne može ni pomaknuti.",De Kiba még nem tud menni.,20
baš,Yoon ne pokazuje baš simptome.,Yoon tünetei nem bizonyíttották egyértelműen a szívprobléma súlyosságát.,17
nego,Bolje ovo nego da te spale zajedno sa smećem.,"Inkább úgy mondanám, biztonságosabb mint elégni a szeméttel együtt.",10
dok,Cvijeće neće uvenuti sve dok ima mjeseca.,"A virágok mindaddig nem halnak ki, amíg a Hold megvan.",25
neka,pa neka vas to ne zavara.,"Ezért, nem lehettünk biztosak benne.",3
evo,"evo, obuci to.","Tessék, vedd fel.",0
no,"Okrenuo si se,no Cole je bila dovoljno dobra da nam donese hrane.","Ti fintorogtatok a kajára, amit Cole-san kedvesen hozzott nekünk!",14
čak,Čak iako smo krenuli za Pakao.,Még ha a Pokol felé is tartunk.,0
god,što god da kažem ne idem.,"Bármit mondasz, nem megyek.",4
dakle,"Dakle, vukovi se danas uhvate u zamke kao što je ova, ha?","Szóval, a farkasokat manapság így csalják tőrbe, igaz?",0
bar,bar bi si trebali reći 'zbogom'.,"Legalább azt kellene mondani, ""Viszlát"".",0
tek,"da, zaspao je tek ujutro.","Igen, csak hajnalban aludt el.",14
niti,ne mogu se sjetiti niti jedne.,Nem tudok most rossz dolgokra gondolni ...,19
barem,barem 12 ljudi bi poludjelo od ljubomore!,Egy tucat ember megőrülne az irigységtől!,0
čim,Moja će vas majka platiti čim se vratimo.,"Anyám kifizeti, amint visszaérünk.",26
iako,Čak iako smo krenuli za Pakao.,Még ha a Pokol felé is tartunk.,4
jel,jel bilo dobro na selu?,Már régóta várlak?,0
eto,-eto zato.,- Csak úgy!,1
pošto,odvest ću te pošto ne smiješ voziti.,"Gyere elviszlek, mivel te nem vezethetsz.",13
nek,Reci im nek' idu!,Küldd el őket.,8
ukoliko,Znali su da će CIA poslati zračnu podršku ukoliko je ruta ugrožena.,"Ismerték a CIA-protokollt, miszerint ha veszélyessé válik az útvonal, légi erősítés érkezik.",42
mada,-Mada što?,Még ha mi?,1
premda,"I evo ga vjerodostojni student, premda tjelesno ne postoji.","Igyunk az őszinte egyetemistára, habár ilyen élőlény nem is létezik.",32
pak,Ja pak uopće ne volim gužve.,- Én sehol sem szeretem a tömeget.,3
negoli,A imaš ga više negoli zakon dopušta.,"Bájosabb, mint valaha.",15
