lemma,frequency_rank,frequency_set,part_of_speech,is_function_word,first_letter_unit,last_letter_unit,is_dead_end
to be,1,1,X,0,t,e,0
yes,2,1,X,0,y,s,0
oneself,3,1,X,0,o,f,0
that,4,1,X,0,t,t,0
no,5,1,X,0,n,o,0
and,6,1,X,0,a,d,0
to want,7,1,X,0,t,t,0
you,8,1,X,0,y,u,0
alone,9,1,X,0,a,e,0
what,10,1,X,0,w,t,0
he,11,1,X,0,h,e,0
I,12,1,X,0,I,I,0
we,13,1,X,0,w,e,0
on,14,1,X,0,o,n,0
to be able to,15,1,X,0,t,o,0
for,16,1,X,0,f,r,0
question particle,17,1,X,0,q,e,0
to know,18,1,X,0,t,w,0
this,19,1,X,0,t,s,0
to have,20,1,X,0,t,e,0
but,21,1,X,0,b,t,0
whole,22,1,X,0,w,e,0
which,23,1,X,0,w,h,0
to say,24,1,X,0,t,y,0
to think,25,1,X,0,t,k,0
my,26,1,X,0,m,y,0
well,27,1,X,0,w,l,0
only,28,1,X,0,o,y,0
from,29,1,X,0,f,m,0
to have to,30,1,X,0,t,o,0
they,31,1,X,0,t,y,0
how,32,1,X,0,h,w,0
to wish,33,1,X,0,t,h,0
to see,34,1,X,0,t,e,0
to need,35,1,X,0,t,d,0
if,36,1,X,0,i,f,0
to go,37,1,X,0,t,o,0
as,38,1,X,0,a,s,0
to work,39,1,X,0,t,k,0
so,40,1,X,0,s,o,0
here,41,1,X,0,h,e,0
one's own,42,1,X,0,o,n,0
person,43,1,X,0,p,n,0
a lot,44,1,X,0,a,t,0
your,45,1,X,0,y,r,0
why,46,1,X,0,w,y,0
order; row,47,1,X,0,o,w,0
to not have,48,1,X,0,t,e,0
one,49,1,X,0,o,e,0
something,50,1,X,0,s,g,0
still,51,1,X,0,s,l,0
when,52,1,X,0,w,n,0
who,53,1,X,0,w,o,0
to come,54,1,X,0,t,e,0
thank you,55,1,X,0,t,u,0
good,56,1,X,0,g,d,0
or,57,1,X,0,o,r,0
to give,58,1,X,0,t,e,0
maybe,59,1,X,0,m,e,0
where,60,1,X,0,w,e,0
a little,61,1,X,0,a,e,0
then,62,1,X,0,t,n,0
some,63,1,X,0,s,e,0
second,64,1,X,0,s,d,0
day,65,1,X,0,d,y,0
thing,66,1,X,0,t,g,0
time; weather,67,1,X,0,t,r,0
nothing,68,1,X,0,n,g,0
until,69,1,X,0,u,l,0
to love,70,1,X,0,t,e,0
really?,71,1,X,0,r,?,1
our,72,1,X,0,o,r,0
to ask,73,1,X,0,t,k,0
bathtub,74,1,X,0,b,b,0
year,75,1,X,0,y,r,0
way,76,1,X,0,w,y,0
because,77,1,X,0,b,e,0
to leave,78,1,X,0,t,e,0
job,79,1,X,0,j,b,0
before,80,1,X,0,b,e,0
hey,81,1,X,0,h,y,0
to hear,82,1,X,0,t,r,0
his,83,1,X,0,h,s,0
because of,84,1,X,0,b,f,0
neither,85,1,X,0,n,r,0
there,86,1,X,0,t,e,0
house,87,1,X,0,h,e,0
life,88,1,X,0,l,e,0
to find,89,1,X,0,t,d,0
to get,90,1,X,0,t,t,0
big,91,1,X,0,b,g,0
to wait,92,1,X,0,t,t,0
to look,93,1,X,0,t,k,0
always,94,1,X,0,a,s,0
woman,95,1,X,0,w,n,0
