lemma,translation,language,is_primary,provenance
Afrika,Afrika,hu,1,llm_only
Ah,ó,hu,1,reviewed
Amerika,Amerika,hu,1,reviewed
Amerikanac,amerikai,hu,1,llm_only
Božić,karácsony,hu,1,reviewed
CEO,vezérigazgató,hu,1,llm_only
Cega,minek,hu,1,llm_only
Cega,miből,hu,0,llm_only
Cimer,szobatárs,hu,1,llm_only
DNK,DNS,hu,1,llm_only
Dečak,fiú,hu,1,llm_only
Doci,jönni,hu,1,llm_only
Dodi,gyere,hu,1,llm_only
Dodi,jönni,hu,0,llm_only
Eh,eh,hu,1,llm_only
Europa,Európa,hu,1,llm_only
GPS,GPS,hu,1,llm_only
Gospod,Úr,hu,1,llm_only
Gospod,Isten,hu,0,llm_only
Irak,Irak,hu,1,llm_only
Isus,Jézus,hu,1,reviewed
Kina,Kína,hu,1,llm_only
Lepa,szép,hu,1,llm_only
Ma,ugyan,hu,1,reviewed
Mars,Mars,hu,1,llm_only
Meksiko,Mexikó,hu,1,llm_only
Mesec,Hold,hu,1,llm_only
Moras,kell,hu,1,llm_only
Moras,muszáj,hu,0,llm_only
Nebi,nem lenne,hu,1,llm_only
Nebi,nem tenné,hu,0,llm_only
Noc,éjszaka,hu,1,llm_only
Rim,Róma,hu,1,llm_only
Rimljanin,római,hu,1,llm_only
Rus,orosz,hu,1,llm_only
Rusija,Oroszország,hu,1,llm_only
SAD,USA,hu,1,llm_only
SMS,SMS,hu,1,llm_only
Srećan,boldog,hu,1,llm_only
Srećna,boldog,hu,1,llm_only
TV,tévé,hu,1,reviewed
TV,TV,hu,0,llm_only
Tesko,nehezen,hu,1,llm_only
Ups,hoppá,hu,1,llm_only
Valentinovo,Valentin-nap,hu,1,llm_only
Zvezda,csillag,hu,1,llm_only
admiral,admirális,hu,1,confirmed
admiral,admiral,hu,0,corpus_only
adresa,cím,hu,1,confirmed
adresa,lakcím,hu,0,corpus_only
advokat,ügyvéd,hu,1,confirmed
advokat,ügyvédként,hu,0,corpus_only
aerodrom,repülőtér,hu,1,confirmed
aerodrom,reptérre,hu,0,corpus_only
afera,botrány,hu,1,confirmed
afera,affér,hu,0,confirmed
afera,viszony,hu,0,corpus_only
agencija,ügynökség,hu,1,confirmed
agencija,ügynökségem,hu,0,corpus_only
agent,ügynök,hu,1,confirmed
agent,agent,hu,0,corpus_only
agentica,ügynöknő,hu,1,confirmed
agentica,jareau,hu,0,corpus_only
aha,aha,hu,1,confirmed
aha,ühüm,hu,0,corpus_only
ahh,ahh,hu,1,corpus_only
aj,jaj,hu,1,confirmed
aj,aj,hu,0,corpus_only
ajde,gyerünk,hu,1,confirmed
ajde,gyere,hu,0,corpus_only
ajme,jaj,hu,1,confirmed
ajme,ajaj,hu,0,corpus_only
ajmo,gyerünk,hu,1,confirmed
ajmo,együnk,hu,0,corpus_only
ajoj,jaj,hu,1,confirmed
ajoj,ég,hu,0,corpus_only
akcija,akció,hu,1,confirmed
akcija,action,hu,0,corpus_only
aktivnost,tevékenység,hu,1,confirmed
aktivnost,aktivitás,hu,0,confirmed
aktivnost,aktivitását,hu,0,corpus_only
ala,hűha,hu,1,llm_only
ala,azta,hu,0,confirmed
ala,ala,hu,0,corpus_only
alarm,riasztó,hu,1,confirmed
alarm,tűzjelzőt,hu,0,corpus_only
alat,szerszám,hu,1,confirmed
alat,szerszámaim,hu,0,corpus_only
album,album,hu,1,confirmed
album,albumát,hu,0,corpus_only
alibi,alibi,hu,1,confirmed
alibi,alibire,hu,0,corpus_only
alicia,alicia,hu,1,corpus_only
alkohol,alkohol,hu,1,confirmed
alkohol,alkoholra,hu,0,corpus_only
amen,ámen,hu,1,confirmed
amen,amen,hu,0,corpus_only
američki,amerikai,hu,1,confirmed
američki,állampolgár,hu,0,corpus_only
analiza,elemzés,hu,1,confirmed
analiza,analízise,hu,0,corpus_only
anđeo,angyal,hu,1,confirmed
anđeo,gardróbom,hu,0,corpus_only
ao,sajnálom,hu,1,corpus_only
aparat,készülék,hu,1,confirmed
aparat,poroltó,hu,0,corpus_only
apartman,apartman,hu,1,confirmed
apartman,lakosztályt,hu,0,corpus_only
apsolutno,teljesen,hu,1,confirmed
apsolutno,abszolúte,hu,0,corpus_only
apsurdno,abszurd módon,hu,1,confirmed
apsurdno,abszurdum,hu,0,corpus_only
arthur,arthur,hu,1,corpus_only
arthura,arthurt,hu,1,corpus_only
asistent,asszisztens,hu,1,confirmed
asistent,tanársegéd,hu,0,corpus_only
atmosfera,légkör,hu,1,confirmed
atmosfera,hangulat,hu,0,confirmed
atmosfera,atmoszféra,hu,0,corpus_only
audicija,meghallgatás,hu,1,confirmed
audicija,ment,hu,0,corpus_only
auto,autó,hu,1,confirmed
auto,kocsimért,hu,0,corpus_only
autobus,busz,hu,1,confirmed
autobus,autóbusz,hu,0,confirmed
autobus,iskolabuszt,hu,0,corpus_only
automatski,automatikusan,hu,1,confirmed
automatski,automatikus,hu,0,corpus_only
automobil,autó,hu,1,confirmed
automobil,gépkocsi,hu,0,confirmed
automobil,autóját,hu,0,corpus_only
autoritet,tekintély,hu,1,confirmed
autoritet,tekintélyemet,hu,0,corpus_only
avion,repülőgép,hu,1,confirmed
avion,repülő,hu,0,confirmed
avion,repülőmet,hu,0,corpus_only
baba,öregasszony,hu,1,confirmed
baba,yaga,hu,0,corpus_only
bacanje,dobás,hu,1,confirmed
bacanje,pénzkidobás,hu,0,corpus_only
bacati,dobálni,hu,1,confirmed
bacati,dobni,hu,0,corpus_only
baciti,dobni,hu,1,confirmed
baciti,dobhatod,hu,0,corpus_only
baka,nagymama,hu,1,confirmed
baka,nagymamám,hu,0,corpus_only
bal,bál,hu,1,confirmed
bal,báljára,hu,0,corpus_only
balon,léggömb,hu,1,confirmed
balon,lufi,hu,0,confirmed
balon,léggömböt,hu,0,corpus_only
banda,banda,hu,1,confirmed
banda,bandája,hu,0,corpus_only
banka,bank,hu,1,confirmed
banka,bankom,hu,0,corpus_only
bas,éppen,hu,1,confirmed
bas,pont,hu,0,confirmed
bas,nagyon,hu,0,confirmed
bas,bas,hu,0,corpus_only
baterija,elem,hu,1,confirmed
baterija,akkumulátor,hu,0,confirmed
baterija,aksim,hu,0,corpus_only
baviti,foglalkozni,hu,1,confirmed
baviti,csinálni,hu,0,corpus_only
baza,bázis,hu,1,confirmed
baza,holdbázis,hu,0,corpus_only
bazen,medence,hu,1,confirmed
bazen,medencénk,hu,0,corpus_only
beba,baba,hu,1,confirmed
beba,csecsemő,hu,0,confirmed
beba,kisbaba,hu,0,corpus_only
bejzbol,baseball,hu,1,confirmed
bejzbol,baseballt,hu,0,corpus_only
bend,zenekar,hu,1,confirmed
bend,együttesem,hu,0,corpus_only
benzin,benzin,hu,1,confirmed
benzin,benzinre,hu,0,corpus_only
bernie,börni,hu,1,corpus_only
besmisleno,értelmetlenül,hu,1,confirmed
besmisleno,értelmetlennek,hu,0,corpus_only
besplatno,ingyen,hu,1,confirmed
besplatno,lngyen,hu,0,corpus_only
beth,betht,hu,1,corpus_only
bez,nélkül,hu,1,confirmed
bez,ablaktalan,hu,0,corpus_only
bežati,menekülni,hu,1,confirmed
biblija,biblia,hu,1,confirmed
biblija,bibliám,hu,0,corpus_only
bice,lesz,hu,1,confirmed
bice,toro,hu,0,corpus_only
bicik,bicikli,hu,1,llm_only
biio,volt,hu,1,confirmed
biio,lenne,hu,0,corpus_only
bijeg,szökés,hu,1,confirmed
bijeg,szökését,hu,0,corpus_only
bijel,fehér,hu,1,confirmed
bijel,fekete,hu,0,corpus_only
bijelac,fehér,hu,1,confirmed
bijelac,kaukázusi,hu,0,corpus_only
bijes,düh,hu,1,confirmed
bijes,haragomat,hu,0,corpus_only
bijesan,dühös,hu,1,confirmed
bijesan,dühösnek,hu,0,corpus_only
bik,bika,hu,1,confirmed
bik,ülő,hu,0,corpus_only
bilješka,jegyzet,hu,1,confirmed
biljka,növény,hu,1,confirmed
biljka,gyógynövény,hu,0,corpus_only
bingo,bingó,hu,1,confirmed
bingo,bingózni,hu,0,corpus_only
birati,választani,hu,1,confirmed
birati,választhatnék,hu,0,corpus_only
bitan,fontos,hu,1,confirmed
bitan,számít,hu,0,corpus_only
biti,lenni,hu,1,confirmed
biti,óvatosabbnak,hu,0,corpus_only
bitka,csata,hu,1,confirmed
bitka,csatának,hu,0,corpus_only
bivši,volt,hu,1,confirmed
bivši,egykori,hu,0,confirmed
bivši,exvőlegény,hu,0,corpus_only
biznis,üzlet,hu,1,confirmed
biznis,business,hu,0,corpus_only
biće,lény,hu,1,confirmed
