lemma,translation,language,is_primary,provenance
biti,to be,en,1,llm_only
sebe,oneself,en,1,llm_only
taj,that,en,1,llm_only
u,in,en,1,llm_only
htjeti,to want,en,1,llm_only
ti,you (singular),en,1,llm_only
sam,alone,en,1,llm_only
što,what,en,1,llm_only
on,he,en,1,llm_only
ja,I,en,1,llm_only
mi,we,en,1,llm_only
na,on,en,1,llm_only
moći,to be able to,en,1,llm_only
sa,with,en,1,llm_only
za,"for, behind",en,1,llm_only
znati,to know,en,1,llm_only
ovaj,this,en,1,llm_only
imati,to have,en,1,llm_only
vi,you (plural/formal),en,1,llm_only
sav,"whole, all",en,1,llm_only
koji,"which, who",en,1,llm_only
reći,to say,en,1,llm_only
misliti,to think,en,1,llm_only
moj,"my, mine",en,1,llm_only
dobro,"well, all right",en,1,llm_only
samo,only,en,1,llm_only
od,from,en,1,llm_only
morati,to have to,en,1,llm_only
oni,they,en,1,llm_only
kako,how,en,1,llm_only
željeti,"to wish, to want",en,1,llm_only
o,oh,en,1,llm_only
vidjeti,to see,en,1,llm_only
trebati,to need,en,1,llm_only
ići,to go,en,1,llm_only
raditi,to work,en,1,llm_only
tako,"so, thus",en,1,llm_only
ovdje,here,en,1,llm_only
svoj,one's own,en,1,llm_only
čovjek,"person, man",en,1,llm_only
mnogo,a lot,en,1,llm_only
tvoj,"your, yours",en,1,llm_only
zašto,why,en,1,llm_only
red,"order; row, queue",en,1,llm_only
nemati,to not have,en,1,llm_only
jedan,one,en,1,llm_only
nešto,something,en,1,llm_only
još,"still, yet",en,1,llm_only
kad,when,en,1,llm_only
tko,who,en,1,llm_only
doći,"to come, to arrive",en,1,llm_only
hvala,thank you,en,1,llm_only
iz,"from, out of",en,1,llm_only
dobar,good,en,1,llm_only
dati,to give,en,1,llm_only
možda,maybe,en,1,llm_only
gdje,where,en,1,llm_only
sada,now,en,1,llm_only
malo,a little,en,1,llm_only
onda,then,en,1,llm_only
neki,"some, a few",en,1,llm_only
drugi,"second, other",en,1,llm_only
dan,day,en,1,llm_only
stvar,thing,en,1,llm_only
vrijeme,time; weather,en,1,llm_only
ništa,nothing,en,1,llm_only
kazati,to say,en,1,llm_only
do,"until, up to",en,1,llm_only
voljeti,to love,en,1,llm_only
naš,"our, ours",en,1,llm_only
vaš,"your, yours (plural)",en,1,llm_only
moliti,"to ask, to pray",en,1,llm_only
učiniti,to do,en,1,llm_only
kada,bathtub,en,1,llm_only
godina,year,en,1,llm_only
ubiti,to kill,en,1,llm_only
put,"way, road; time (occasion)",en,1,llm_only
otići,"to leave, to go away",en,1,llm_only
posao,"job, work",en,1,llm_only
prije,"before, earlier",en,1,llm_only
hej,hey,en,1,llm_only
čuti,to hear,en,1,llm_only
sad,now,en,1,llm_only
tu,"here, there",en,1,llm_only
vratiti,to return,en,1,llm_only
njegov,his,en,1,llm_only
zbog,because of,en,1,llm_only
tamo,there,en,1,llm_only
kuća,house,en,1,llm_only
život,life,en,1,llm_only
bog,God,en,1,llm_only
naći,to find,en,1,llm_only
dobiti,"to get, to receive",en,1,llm_only
velik,big,en,1,llm_only
čekati,to wait,en,1,llm_only
izgledati,"to look, to seem",en,1,llm_only
uvijek,always,en,1,llm_only
žena,"woman, wife",en,1,llm_only
prvi,first,en,1,llm_only
netko,someone,en,1,llm_only
stvarno,really,en,1,llm_only
pomoći,to help,en,1,llm_only
hajde,come on,en,1,llm_only
zvati,to call,en,1,llm_only
po,"according to, per",en,1,llm_only
govoriti,to speak,en,1,llm_only
koliko,how much,en,1,llm_only
vjerovati,to believe,en,1,llm_only
već,already,en,1,llm_only
dva,two,en,1,llm_only
napraviti,"to make, to do",en,1,llm_only
zato,that's why,en,1,llm_only
bez,without,en,1,llm_only
oh,oh,en,1,llm_only
gospodin,"mister, gentleman",en,1,llm_only
pravo,"right, law",en,1,llm_only
prijatelj,friend,en,1,llm_only
svaki,"every, each",en,1,llm_only
dijete,child,en,1,llm_only
uzeti,to take,en,1,llm_only
joj,to her,en,1,llm_only
gledati,to watch,en,1,llm_only
ostati,to stay,en,1,llm_only
značiti,to mean,en,1,llm_only
žao,sorry,en,1,llm_only
naravno,"naturally, of course",en,1,llm_only
otac,father,en,1,llm_only
onaj,that,en,1,llm_only
tražiti,to look for,en,1,llm_only
oprostiti,to forgive,en,1,llm_only
mjesto,place,en,1,llm_only
kakav,what kind of,en,1,llm_only
dogoditi,to happen,en,1,llm_only
nov,new,en,1,llm_only
oko,around,en,1,llm_only
razgovarati,to converse,en,1,llm_only
pitati,to ask,en,1,llm_only
mama,mom,en,1,llm_only
nitko,nobody,en,1,llm_only
nikad,never,en,1,llm_only
siguran,"sure, safe",en,1,llm_only
mali,small,en,1,llm_only
pogledati,to look at,en,1,llm_only
tata,dad,en,1,llm_only
problem,problem,en,1,llm_only
ime,name,en,1,llm_only
novac,money,en,1,llm_only
živjeti,to live,en,1,llm_only
puno,a lot,en,1,llm_only
ok,ok,en,1,llm_only
slušati,to listen,en,1,llm_only
kod,"at, by",en,1,llm_only
sat,"clock, hour",en,1,llm_only
pričati,"to talk, to tell stories",en,1,llm_only
star,old,en,1,llm_only
postojati,to exist,en,1,llm_only
ruka,hand,en,1,llm_only
cijel,whole,en,1,llm_only
pustiti,to let go,en,1,llm_only
jako,"very, strongly",en,1,llm_only
ostaviti,to leave (behind),en,1,llm_only
veza,connection,en,1,llm_only
dolaziti,"to come, to arrive",en,1,llm_only
činiti,to do,en,1,llm_only
početi,to begin,en,1,llm_only
umrijeti,to die,en,1,llm_only
razumjeti,to understand,en,1,llm_only
pronaći,to find,en,1,llm_only
držati,to hold,en,1,llm_only
sin,son,en,1,llm_only
mrtav,dead,en,1,llm_only
nikada,never,en,1,llm_only
danas,today,en,1,llm_only
noć,night,en,1,llm_only
daleko,"far, far away",en,1,llm_only
majka,mother,en,1,llm_only
opet,again,en,1,llm_only
vrlo,very,en,1,llm_only
osjećati,to feel,en,1,llm_only
upravo,just,en,1,llm_only
sigurno,surely,en,1,llm_only
nakon,after,en,1,llm_only
odmah,immediately,en,1,llm_only
tri,three,en,1,llm_only
uraditi,to do,en,1,llm_only
svijet,world,en,1,llm_only
duša,soul,en,1,llm_only
brinuti,to worry,en,1,llm_only
spreman,ready,en,1,llm_only
završiti,to finish,en,1,llm_only
pitanje,question,en,1,llm_only
izgubiti,to lose,en,1,llm_only
istina,truth,en,1,llm_only
takav,such,en,1,llm_only
zdravo,hello,en,1,llm_only
prestati,to stop,en,1,llm_only
tip,type,en,1,llm_only
slučaj,case,en,1,llm_only
način,"way, manner",en,1,llm_only
dečko,"boy, boyfriend",en,1,llm_only
toliko,so much,en,1,llm_only
sranje,shit,en,1,llm_only
stati,to stop,en,1,llm_only
bok,"hi, bye",en,1,llm_only
nadati,to hope,en,1,llm_only
prema,"towards, according to",en,1,llm_only
pokušati,to try,en,1,llm_only
djevojka,girl,en,1,llm_only
soba,room,en,1,llm_only
nazvati,"to call, to phone",en,1,llm_only
grad,city,en,1,llm_only
glava,head,en,1,llm_only
dugo,for a long time,en,1,llm_only
pokušavati,to try,en,1,llm_only
zaboraviti,to forget,en,1,llm_only
kraj,"end; near, next to",en,1,llm_only
obitelj,family,en,1,llm_only
zemlja,"country, earth",en,1,llm_only
vrata,door,en,1,llm_only
priča,story,en,1,llm_only
dovoljno,"enough, sufficiently",en,1,llm_only
staviti,"to put, to place",en,1,llm_only
brzo,quickly,en,1,llm_only
poslati,to send,en,1,llm_only
jednom,once,en,1,llm_only
ući,to enter,en,1,llm_only
događati,to happen,en,1,llm_only
lijepo,nicely,en,1,llm_only
njen,her,en,1,llm_only
sviđati,to like,en,1,llm_only
dio,part,en,1,llm_only
proći,"to pass by, to pass",en,1,llm_only
brat,"brother, sibling",en,1,llm_only
postati,to become,en,1,llm_only
auto,car,en,1,llm_only
minuta,minute,en,1,llm_only
strana,"side, page",en,1,llm_only
njihov,their,en,1,llm_only
sjećati,to remember,en,1,llm_only
momak,guy,en,1,llm_only
otvoriti,to open,en,1,llm_only
nositi,"to carry, to wear",en,1,llm_only
isti,"same, identical",en,1,llm_only
koristiti,to use,en,1,llm_only
smjeti,to be allowed,en,1,llm_only
drago,glad,en,1,llm_only
pod,under,en,1,llm_only
nekoliko,several,en,1,llm_only
upoznati,to meet,en,1,llm_only
