lemma,first_singular,second_singular,third_singular,first_plural,second_plural,third_plural,provenance
moći,mogu,možeš,može,možemo,možete,mogu,wiktionary
znati,znam,znaš,zna,znamo,znate,znaju,wiktionary
imati,imam,imaš,ima,imamo,imate,imaju,wiktionary
reći,reknem,rekneš,rekne,reknemo,reknete,reknu,wiktionary
misliti,mislim,misliš,misli,mislimo,mislite,misle,wiktionary
morati,moram,moraš,mora,moramo,morate,moraju,wiktionary
željeti,želim,želiš,želi,želimo,želite,žele,wiktionary
vidjeti,vidim,vidiš,vidi,vidimo,vidite,vide,wiktionary
trebati,trebam,trebaš,treba,trebamo,trebate,trebaju,wiktionary
ići,idem/idem,ideš/ideš,ide/ide,idemo/idemo,idete/idete,idu/idu,wiktionary
raditi,radim,radiš,radi,radimo,radite,rade,wiktionary
nemati,nemam,nemaš,nema,nemamo,nemate,nemaju,wiktionary
doći,dođem,dođeš,dođe,dođemo,dođete,dođu,wiktionary
dati,dam,daš,da,damo,date,daju,wiktionary
kazati,kažem,kažeš,kaže,kažemo,kažete,kažu,wiktionary
voljeti,volim,voliš,voli,volimo,volite,vole,wiktionary
moliti,molim,moliš,moli,molimo,molite,mole,wiktionary
učiniti,učinim,učiniš,učini,učinimo,učinite,učine,wiktionary
ubiti,ubijem,ubiješ,ubije,ubijemo,ubijete,ubiju,wiktionary
otići,odem,odeš,ode,odemo,odete,odu,wiktionary
čuti,čujem,čuješ,čuje,čujemo,čujete,čuju,wiktionary
vratiti,vratim,vratiš,vrati,vratimo,vratite,vrate,wiktionary
naći,nađem,nađeš,nađe,nađemo,nađete,nađu,wiktionary
dobiti,dobijem,dobiješ,dobije,dobijemo,dobijete,dobiju,wiktionary
čekati,čekam,čekaš,čeka,čekamo,čekate,čekaju,wiktionary
izgledati,izgledam,izgledaš,izgleda,izgledamo,izgledate,izgledaju,wiktionary
pomoći,pomognem,pomogneš,pomogne,pomognemo,pomognete,pomognu,wiktionary
