lemma,sentence_hu,sentence_hr,blank_offset
az,"Nos, az otthonod ott van ahova a kalapodat akasztod.",Ovo će im postati dom.,5
hogy,"Ha megtörténik, nekünk kell hogy dolgozzanak.","Ako se to dogodi,morat će raditi za nas.",28
és,Nem sok telik bele és már ez is paradicsom lesz számukra.,"Pomislit će,da je ovo raj.",19
egy,Hagyhattál volna nekünk egy keveset.,Mogao si nam malo ostaviti.,24
is,Nem sok telik bele és már ez is paradicsom lesz számukra.,"Pomislit će,da je ovo raj.",29
meg,"Gyorsan! Ha nem sietünk, akkor meg fogják ölni!","Požurimo ako ne stignemo, ubit će ga.",31
de,De Kiba még nem tud menni.,"Ali,Kiba se ne može ni pomaknuti.",0
ha,"Ha elfogják azokat a kölyköket talán hozzád kerülnek, Zali.","Ako ulove te dečke,uvalit će ih tebi.",0
vagy,Most vagy soha.,Sad ili nikad.,5
ki,Ki kell mennem.,Moram izaći.,0
el,Csak tűnjünk el innen a fenébe.,Izgubimo se odavdje.,13
mint,"Inkább úgy mondanám, biztonságosabb mint elégni a szeméttel együtt.",Bolje ovo nego da te spale zajedno sa smećem.,36
mert,Mert kívülálló.,Zato što je stranac.,0
be,"Kérem, menjünk be agassi ...","molim vas idite unutra, gđice.",15
le,"Tsume, tegyél le!","Tsume,spusti me dole.",14
sem,Akkor sem kellett volna beleavatkoznia.,"Nije se trebao mješati,a bome i udarit.",6
fel,"Én vagyok az egyetlen, akinek ez nem tűnt fel?",Jesam jedini koji to nije skužio?,42
oké,"Odaadom a szívemet Yoonnak, oké?","dat ću svoje srce Yoonu, ok?",28
hát,"Így hát visszatértem a városba és úgy döntöttem, itt fojtatjuk az életünket.",Pa sam se vratio u grad i nastavio život ovdje.,4
vissza,Megcsókolsz egy lányt ... és nem mész vissza Ausztráliába.,ulizujemo se tako da se ne vratiš u australiju.,38
pedig,"Megakartad védeni önzetlenül a barátnődet, pedig elárult téged.","pun si ljubavi, stao si pred metak za ženu koja te izdala.",43
egyik,Ő az egyik ismerősöm.,netko koga poznajem...,5
mintha,"Nem mintha érdekelne, vagy valami ...",Nije da brinem ili što...,4
mind,"Valaha mind hittünk benne, hogy eljutunk a Paradicsomba.",Svi smo mislili doći u Raj.,7
mielőtt,"Kötés kell, gyorsan, mielőtt elvérzik.",Stisni krpe tu gdje krvari.,21
tehát,"Tehát, éltél Ausztráliában?",znači živio si u australiji?,0
ugyan,"A szívem ugyan nem adhatom, de enni igen.","ne mogu ti dati svoje srce, ali mogu ti dati hranu.",9
mégis,"Azt mondta, hogy mégis elmegy?",rekao je da smo ga uzrujali?,17
hanem,"Ja, én vagyok a kutya. Nem egy személy, hanem egy kutya!","da, ja sam pas nisam čovjek nego pas!",40
mivel,"Gyere elviszlek, mivel te nem vezethetsz.",odvest ću te pošto ne smiješ voziti.,17
bár,Bár az óra jár és az idő csak megy ...,sve se vraća sve se plaća!,0
úgyhogy,"Nagyon jól néz ki, úgyhogy rendben van.","izgledate glamurozno, pa je u redu.",19
miután,"Miután raktároztam, tudom, mi a szerelem.","nakon što sam dobila košaricu, znam što je ljubav.",0
viszont,"Viszont lefogadom, hogy Miss Cherry nagyon szeretné látni ezt.","Međutim, Ću kladiti Miss Cherry bi volio vidjeti.",0
vagyis,"Vagyis igen, a gyerekeimmel akarok beszélni. De nem tudom melyiket válasszam.","Mislim, želim razgovarati s djecom, ali ne znam koga izabrati.",0
ám,Sikerült megszereznie a finanszírozást? Bizony ám.,Jeste li uspjeli osigurati sredstva putem?,47
mármint,Mármint szívátültetés?,mislite transplantacija srca?,0
hiszen,"Eun Chae, hiszen a barátod, nem?","nije li on tvoj dečko, Eunchae?",10
hacsak,- Hacsak nem kapunk valahol lovakat.,Osim ako zamijenimo nešto za konje.,2
nehogy,Aztán nehogy itt elővegyen téged a lelkiismeret.,"Nemoj tamo potezati pitanje savjesti, jasno?",6
minél,"Minél nagyobbak, annál nagyobbat buknak.","Što su veci, teže padnu.",0
mégsem,"Azt mondta, hogy mégsem adja a szívét ...?",rekao si da nećeš prihvatiti njegovo srce ni ništa,17
sőt,"Klasszikus mediterrán étel, nagyon jellegzetes, sőt, sajátos... görög hatással.","Klasično mediteransko jelo, s vrlo specifičnim i vrlo osobnim helenskim utjecajem.",48
föl,"Gyerünk már, te ostoba! Behn! Állj föl!","Paule, jesi li dobro?",35
hogyha,"Hogyha játszhatnék esetleg, talán nyernék.","Kad bih mogao nešto zaigrati, mislim da bih dobio.",0
azonban,- A kormány azonban alkalmatlan.,Vlada je loše radila.,12
szintén,"Összeállt egy brazil festővel, aki szintén nagy művész.","Spetljala se s brazilskim slikarom, takodjer velikim umjetnikom.",35
akárcsak,"Az vagyok, aki vagyok, akárcsak maga!",A vi ste takvi kakvi jeste.,23
habár,"Habár hányás sztrichninmérgezés után szokatlan lenne, nem?","Iako povraćanje nakon trovanja strihnin Bi bilo neobično, zar ne?",0
csakhogy,"Kérhetnék MR-t is, csakhogy kiderüljön, tényleg tele van-e pénzzel.",Poslat ću ga na magnetsku rezonanciju samo da provjerim jel' iznutra pun love.,19
megvagy,"- Megvagy, Diavolo.",- Hajde.,2
azaz,"Az R volt az E, azaz a római 18-as szám.","R je E, one je predstavljen s rimskim 18.",16
ugyanis,"Ugyanis jönni fogok a pénzemért, minden héten.",Jer ću svaki tjedan dolaziti po rate.,0
valamint,"Rendelkezésünkre áll egy DNS-adatbázis, törvényszéki elemzés, valamint műholdak.","Na raspolaganju imamo DNK baze podataka, forenzičke analize, satelitsku tehnologiju.",62
akárhogy,Akárhogy is ... ez tényleg a legvidámabb élet?,"nego, je li ovo stvarno sretan život?",0
illetve,"Illetve én, de...","Zapravo, jesam ali...",0
méghozzá,"Benne leszel, és méghozzá szivesen.",Bit ceš u ovome i svidjet ce ti se.,17
mégse,Dobja ki! Vagy mégse!,Baci ga u koš za smeće.,15
a,"Megkezdődött a kóbor kutyákra való vadászat, mi?","Počela je potraga za lutalicama,huh?",13
minthogy,"Nos, kevés választást hagytak nekem, minthogy közvetlenül a városhoz","Pa, bio sam ostavio malo izbora nego da se izravno žaliti",37
miszerint,"De majd kapni fogsz egy üzenetet, miszerint feltartották üzleti ügyben.","Kad ne pošalje auto, pošalje poruku.",34
bárhogy,- Képtelen voltam bárhogy felkelteni.,ne mogu ga nikako probuditi.,18
mégpedig,"Első alaklommal nézett filmet egy producer házában, mégpedig egy jó filmet.","Bilo mu je to prvo iskustvo s privatnom projekcijom u producentovoj kući, a film je bio dobar.",52
amennyiben,"Amennyiben megérti, hogy lehet, hogy nincs megoldás.",Sve dok te shvatiti da Ne postoji svibanj biti rješenje.,0
márpedig,Márpedig jönni fogsz.,Kažem ti da ćeš ići.,0
noha,Noha nem tudtam elmenni a koncertjeidre...,"""Iako nisam mogla ići na tvoje koncerte,""",0
mintsem,"Inkább meghalok, mintsem a képére formáljon!",Umrijet ću prije nego što me izvedete na vaš put.,17
mindazonáltal,"Ennek a manővernek a pontos okát, mindazonáltal nem értem.",Ne znam stvarnu svrhu ovog potreza.,34
nemhogy,"Ti kutyák sem vagytok, nemhogy farkasok!","Nisi ni vuk,a jošmanje i pas!",23
mihelyt,"Mihelyt megláttam, tudtam, hogy jó szíve van.","Čim sam vas vidjela, znala sam da ste dobroga srca.",0
úgyszintén,És ő úgyszintén.,i ona će.,5
holott,Holott ki kellett volna vernem a fogaidat. De nem fogom megtenni.,Trebao sam ti razbiti zube.,0
ellenben,"Ellenben maga, Doc, maga.. Maga nemrég jött ki.","Dok ste vi, Doktore, evidentirani kriminalac.",0
merthogy,"Azt hiszik, én vagyok a vezér merthogy olyan sokat beszélek.","Misle da sam ja vođa, jer puno pričam.",30
avagy,"A Kohinoor, avagy a ""Fény Hegye""!","Kohinoor ili ""Planina svjetlosti"".",12
mígnem,"Aztán újabbat és újabbat, mígnem rájöttem, hogy egy nyom.",Onda sam pronašao još jedan i shvatio da je to put.,26
hogysmint,"Helló, hogysmint?","Bok, kako je?",7
éspedig,- Éspedig? Ha velem ebédel holnap.,-Mogu li večeras izostati?,2
ugyancsak,"Ugyancsak ki kell tennie magáért, mint Manderley úrnőjének.",U Manderleyju vam neće biti lako.,0
amúgyis,"Hagy vezessek én. Semmi gond, már amúgyis ócska volt.","- Nema veze, to je stara kanta.",34
ámbár,"Tudod Max, teljesen elégedett vagyok a munkámmal, mint autóügynök, ámbár...",Dojadilo mi je prodavati automobile.,67
