STATUS: AI-drafted, pending native-speaker review — see docs/plans/2026-08-21-translation-judge-gate-harness.md
hungarian,reference_translations,candidate_answer,expected_verdict,category,note
anya,majka,majka,accept,correct,
apa,otac,otac,accept,correct,
víz,voda,voda,accept,correct,
kenyér,kruh,kruh,accept,correct,
ház,kuća,kuća,accept,correct,
macska,mačka,mačka,accept,correct,
egy,jedan,jedan,accept,correct,
három,tri,tri,accept,correct,
piros,crven,crven,accept,correct,
kék,plav,plav,accept,correct,
nagy,velik,velik,accept,correct,
jó,dobar,dobar,accept,correct,
kéz,ruka,ruka,accept,correct,
szem,oko,oko,accept,correct,
tej,mlijeko,mlijeko,accept,correct,
férj,muž|suprug,suprug,accept,synonym,
feleség,žena|supruga,supruga,accept,synonym,
gyerek,dijete|klinac,klinac,accept,synonym,colloquial register
munka,posao|rad,rad,accept,synonym,
pénz,novac|lova,lova,accept,synonym,slang for money
barát,prijatelj|kompa,kompa,accept,synonym,very colloquial; uncertain how broadly this would be accepted
autó,auto|kola,kola,accept,synonym,uncertain -- kola for car reads more regional to me than standard Croatian; flagging for reviewer
repülőgép,zrakoplov|avion,avion,accept,synonym,
orvos,liječnik|doktor,doktor,accept,synonym,
tanár,učitelj|nastavnik,nastavnik,accept,synonym,
szomorú,tužan|žalostan,žalostan,accept,synonym,
boldog,sretan|veseo,veseo,accept,synonym,near-synonym: veseo leans cheerful rather than happy
lány,djevojka|cura,cura,accept,synonym,colloquial but very common
ház,kuća|dom,dom,accept,synonym,near-synonym: dom leans toward home vs kuća meaning the physical house
szép,lijep|krasan,krasan,accept,synonym,
kicsi,malen|mali,mali,accept,synonym,
enni,jesti|blagovati,blagovati,accept,synonym,formal/literary register
nagymama,baka|baba,baba,accept,synonym,uncertain -- baba can also just mean old woman in general; flagging for reviewer
gyors,brz|hitar,hitar,accept,synonym,near-synonym: hitar leans agile rather than pure speed
ajándék,poklon|dar,dar,accept,synonym,
macska,mačka,mačke,accept,inflection,genitive singular / nominative plural
kutya,pas,psa,accept,inflection,genitive singular
kenyér,kruh,kruha,accept,inflection,genitive singular
víz,voda,vode,accept,inflection,genitive singular
ház,kuća,kuće,accept,inflection,genitive singular / nominative plural
gyerek,dijete,djeteta,accept,inflection,genitive singular of an irregular noun; moderately confident
könyv,knjiga,knjige,accept,inflection,genitive singular / nominative plural
autó,auto,auta,accept,inflection,genitive singular
barát,prijatelj,prijatelja,accept,inflection,genitive/accusative singular
lány,djevojka,djevojke,accept,inflection,genitive singular / nominative plural
fiú,dječak,dječaka,accept,inflection,genitive singular / accusative
szeretni,voljeti,volim,accept,inflection,1st person singular present
enni,jesti,jedem,accept,inflection,1st person singular present
inni,piti,pijem,accept,inflection,1st person singular present
menni,ići,idem,accept,inflection,1st person singular present
