lemma,translation,language,is_primary,provenance
to be,biti,hr,1,llm_only
yes,da,hr,1,llm_only
oneself,sebe,hr,1,llm_only
that,onaj,hr,1,llm_only
that,ono,hr,0,llm_only
that,taj,hr,0,llm_only
no,ne,hr,1,llm_only
and,i,hr,1,llm_only
and,te,hr,0,llm_only
to want,htjeti,hr,1,llm_only
you,ti,hr,1,llm_only
you,vi,hr,0,llm_only
alone,sam,hr,1,llm_only
what,što,hr,1,llm_only
he,on,hr,1,llm_only
I,ja,hr,1,llm_only
we,mi,hr,1,llm_only
on,na,hr,1,llm_only
to be able to,moći,hr,1,llm_only
for,za,hr,1,llm_only
question particle,li,hr,1,llm_only
to know,poznavati,hr,1,llm_only
to know,znati,hr,0,llm_only
this,ovaj,hr,1,llm_only
to have,imati,hr,1,llm_only
but,ali,hr,1,llm_only
whole,cijel,hr,1,llm_only
whole,sav,hr,0,llm_only
which,koji,hr,1,llm_only
to say,kazati,hr,1,llm_only
to say,reći,hr,0,llm_only
to think,misliti,hr,1,llm_only
to think,razmišljati,hr,0,llm_only
my,moj,hr,1,llm_only
well,dobro,hr,1,llm_only
well,pa,hr,0,llm_only
well,zdenac,hr,0,llm_only
only,samo,hr,1,llm_only
from,iz,hr,1,llm_only
from,od,hr,0,llm_only
to have to,morati,hr,1,llm_only
they,oni,hr,1,llm_only
how,kako,hr,1,llm_only
to wish,željeti,hr,1,llm_only
to see,vidjeti,hr,1,llm_only
to need,trebati,hr,1,llm_only
if,ako,hr,1,llm_only
to go,ići,hr,1,llm_only
as,kao,hr,1,llm_only
to work,raditi,hr,1,llm_only
so,tako,hr,1,llm_only
here,evo,hr,1,llm_only
here,ovdje,hr,0,llm_only
here,tu,hr,0,llm_only
one's own,svoj,hr,1,llm_only
person,čovjek,hr,1,llm_only
person,osoba,hr,0,llm_only
a lot,mnogo,hr,1,llm_only
a lot,puno,hr,0,llm_only
your,tvoj,hr,1,llm_only
your,vaš,hr,0,llm_only
why,zašto,hr,1,llm_only
order; row,red,hr,1,llm_only
to not have,nemati,hr,1,llm_only
one,jedan,hr,1,llm_only
something,nešto,hr,1,llm_only
still,ipak,hr,1,llm_only
still,još,hr,0,llm_only
when,kad,hr,1,llm_only
who,tko,hr,1,llm_only
to come,doći,hr,1,llm_only
to come,dolaziti,hr,0,llm_only
thank you,hvala,hr,1,llm_only
good,dobar,hr,1,llm_only
or,ili,hr,1,llm_only
to give,dati,hr,1,llm_only
to give,davati,hr,0,llm_only
maybe,možda,hr,1,llm_only
where,gdje,hr,1,llm_only
a little,malo,hr,1,llm_only
then,onda,hr,1,llm_only
then,tada,hr,0,llm_only
then,zatim,hr,0,llm_only
some,neki,hr,1,llm_only
second,drugi,hr,1,llm_only
second,sekunda,hr,0,llm_only
day,dan,hr,1,llm_only
thing,stvar,hr,1,llm_only
time; weather,vrijeme,hr,1,llm_only
nothing,ništa,hr,1,llm_only
until,do,hr,1,llm_only
to love,voljeti,hr,1,llm_only
really?,zar,hr,1,llm_only
our,naš,hr,1,llm_only
to ask,moliti,hr,1,llm_only
to ask,pitati,hr,0,llm_only
bathtub,kada,hr,1,llm_only
year,godina,hr,1,llm_only
way,način,hr,1,llm_only
way,put,hr,0,llm_only
because,jer,hr,1,llm_only
because,zato što,hr,0,llm_only
because,zbog toga što,hr,0,llm_only
to leave,odlaziti,hr,1,llm_only
to leave,ostaviti,hr,0,llm_only
to leave,otići,hr,0,llm_only
job,posao,hr,1,llm_only
before,prije,hr,1,llm_only
hey,hej,hr,1,llm_only
to hear,čuti,hr,1,llm_only
his,njegov,hr,1,llm_only
because of,zbog,hr,1,llm_only
neither,ni,hr,1,llm_only
there,ondje,hr,1,llm_only
there,tamo,hr,0,llm_only
house,kuća,hr,1,llm_only
life,život,hr,1,llm_only
to find,naći,hr,1,llm_only
to find,pronaći,hr,0,llm_only
to get,dobiti,hr,1,llm_only
to get,dobivati,hr,0,llm_only
big,velik,hr,1,llm_only
to wait,čekati,hr,1,llm_only
to look,izgledati,hr,1,llm_only
always,uvijek,hr,1,llm_only
woman,žena,hr,1,llm_only
first,prvi,hr,1,llm_only
someone,netko,hr,1,llm_only
really,stvarno,hr,1,llm_only
to help,pomagati,hr,1,llm_only
to help,pomoći,hr,0,llm_only
come on,hajde,hr,1,llm_only
to call,nazivati,hr,1,llm_only
to call,nazvati,hr,0,llm_only
to call,zvati,hr,0,llm_only
according to,po,hr,1,llm_only
to speak,govoriti,hr,1,llm_only
how much,koliko,hr,1,llm_only
to believe,vjerovati,hr,1,llm_only
already,već,hr,1,llm_only
two,dva,hr,1,llm_only
to make,napraviti,hr,1,llm_only
to make,praviti,hr,0,llm_only
that's why,zato,hr,1,llm_only
exactly,baš,hr,1,llm_only
exactly,točno,hr,0,llm_only
but rather,nego,hr,1,llm_only
without,bez,hr,1,llm_only
mister,gospodin,hr,1,llm_only
right,desni,hr,1,llm_only
right,pravo,hr,0,llm_only
friend,prijatelj,hr,1,llm_only
friend,prijateljica,hr,0,llm_only
while,dok,hr,1,llm_only
every,svaki,hr,1,llm_only
child,dijete,hr,1,llm_only
to take,uzeti,hr,1,llm_only
to take,uzimati,hr,0,llm_only
to watch,gledati,hr,1,llm_only
to stay,ostajati,hr,1,llm_only
to stay,ostati,hr,0,llm_only
to mean,značiti,hr,1,llm_only
sorry,žao,hr,1,llm_only
naturally,naravno,hr,1,llm_only
father,otac,hr,1,llm_only
to look for,potražiti,hr,1,llm_only
to look for,tražiti,hr,0,llm_only
to forgive,oprostiti,hr,1,llm_only
place,mjesto,hr,1,llm_only
what kind of,kakav,hr,1,llm_only
new,nov,hr,1,llm_only
around,oko,hr,1,llm_only
to converse,razgovarati,hr,1,llm_only
mom,mama,hr,1,llm_only
never,nikad,hr,1,llm_only
sure,siguran,hr,1,llm_only
small,malen,hr,1,llm_only
small,mali,hr,0,llm_only
to look at,pogledati,hr,1,llm_only
dad,tata,hr,1,llm_only
problem,problem,hr,1,llm_only
name,ime,hr,1,llm_only
name,naziv,hr,0,llm_only
money,novac,hr,1,llm_only
to live,stanovati,hr,1,llm_only
to live,živjeti,hr,0,llm_only
to listen,slušati,hr,1,llm_only
at,kod,hr,1,llm_only
clock,sat,hr,1,llm_only
to talk,pričati,hr,1,llm_only
old,star,hr,1,llm_only
to exist,postojati,hr,1,llm_only
hand,ruka,hr,1,llm_only
very,jako,hr,1,llm_only
very,vrlo,hr,0,llm_only
connection,veza,hr,1,llm_only
to begin,početi,hr,1,llm_only
to begin,počinjati,hr,0,llm_only
to die,umrijeti,hr,1,llm_only
to understand,razumjeti,hr,1,llm_only
to hold,držati,hr,1,llm_only
son,sin,hr,1,llm_only
today,danas,hr,1,llm_only
night,noć,hr,1,llm_only
night,noćni,hr,0,llm_only
far,daleko,hr,1,llm_only
mother,majka,hr,1,llm_only
again,opet,hr,1,llm_only
again,ponovno,hr,0,llm_only
surely,sigurno,hr,1,llm_only
after,nakon,hr,1,llm_only
after,poslije,hr,0,llm_only
immediately,odmah,hr,1,llm_only
three,tri,hr,1,llm_only
world,svijet,hr,1,llm_only
ready,spreman,hr,1,llm_only
question,pitanje,hr,1,llm_only
to lose,gubiti,hr,1,llm_only
to lose,izgubiti,hr,0,llm_only
truth,istina,hr,1,llm_only
such,takav,hr,1,llm_only
type,tip,hr,1,llm_only
boy,dečko,hr,1,llm_only
boy,dječak,hr,0,llm_only
even,čak,hr,1,llm_only
so much,toliko,hr,1,llm_only
hi,bok,hr,1,llm_only
towards,prema,hr,1,llm_only
girl,cura,hr,1,llm_only
girl,djevojka,hr,0,llm_only
room,prostorija,hr,1,llm_only
room,soba,hr,0,llm_only
city,grad,hr,1,llm_only
city,gradski,hr,0,llm_only
for a long time,dugo,hr,1,llm_only
to forget,zaboraviti,hr,1,llm_only
end; near,kraj,hr,1,llm_only
family,obitelj,hr,1,llm_only
family,obiteljski,hr,0,llm_only
country,zemlja,hr,1,llm_only
door,vrata,hr,1,llm_only
story,priča,hr,1,llm_only
enough,dosta,hr,1,llm_only
enough,dovoljno,hr,0,llm_only
to put,staviti,hr,1,llm_only
quickly,brzo,hr,1,llm_only
to send,poslati,hr,1,llm_only
to send,slati,hr,0,llm_only
to enter,ući,hr,1,llm_only
to enter,ulaziti,hr,0,llm_only
beautifully,lijepo,hr,1,llm_only
part,dio,hr,1,llm_only
to pass by,proći,hr,1,llm_only
