lemma,frequency_rank,frequency_set,part_of_speech,is_function_word,first_letter_unit,last_letter_unit,is_dead_end
az,1,1,DET,1,a,z,0
nem,2,1,ADV,0,n,m,0
van,3,1,VERB,0,v,n,0
hogy,4,1,SCONJ,1,h,gy,0
ez,5,1,PRON,0,e,z,0
és,6,1,CCONJ,1,é,s,0
egy,7,1,DET,1,e,gy,0
mi,8,1,PRON,0,m,i,0
tud,9,1,VERB,0,t,d,0
is,10,1,CCONJ,1,i,s,0
meg,11,1,PART,1,m,g,0
de,12,1,CCONJ,1,d,e,0
én,13,1,PRON,0,é,n,0
csak,14,1,ADV,0,cs,k,0
lesz,15,1,VERB,0,l,sz,0
kell,16,1,VERB,0,k,l,0
ha,17,1,SCONJ,1,h,a,0
vagy,18,1,CCONJ,1,v,gy,0
igen,19,1,ADV,0,i,n,0
mond,20,1,VERB,0,m,d,0
jó,21,1,ADJ,0,j,ó,0
te,22,1,PRON,0,t,e,0
akar,23,1,VERB,0,a,r,0
itt,24,1,ADV,0,i,t,0
neki,25,1,ADV,0,n,i,0
ki,26,1,ADV,1,k,i,0
maga,27,1,PRON,0,m,a,0
el,28,1,ADV,1,e,l,0
már,29,1,ADV,0,m,r,0
ne,30,1,ADV,0,n,e,0
jön,31,1,VERB,0,j,n,0
még,32,1,ADV,0,m,g,0
megy,33,1,VERB,0,m,gy,0
most,34,1,ADV,0,m,t,0
ami,35,1,PRON,0,a,i,0
fog,36,1,AUX,0,f,g,0
minden,37,1,PRON,0,m,n,0
vele,38,1,PRON,0,v,e,0
lát,39,1,VERB,0,l,t,0
jól,40,1,ADV,0,j,l,0
úgy,41,1,ADV,0,ú,gy,0
valami,42,1,PRON,0,v,i,0
miért,43,1,ADV,0,m,t,0
mint,44,1,SCONJ,1,m,t,0
akkor,45,1,ADV,0,a,r,0
hisz,46,1,VERB,0,h,sz,0
nincs,47,1,VERB,0,n,cs,0
tesz,48,1,VERB,0,t,sz,0
csinál,49,1,VERB,0,cs,l,0
szeret,50,1,VERB,0,sz,t,0
ember,51,1,NOUN,0,e,r,0
aki,52,1,PRON,0,a,i,0
néz,53,1,VERB,0,n,z,0
rá,54,1,ADV,0,r,á,0
nagyon,55,1,ADV,0,n,n,0
semmi,56,1,PRON,0,s,i,0
rend,57,1,NOUN,0,r,d,0
mert,58,1,SCONJ,1,m,t,0
be,59,1,ADV,1,b,e,0
kér,60,1,VERB,0,k,r,0
lehet,61,1,VERB,0,l,t,0
beszél,62,1,VERB,0,b,l,0
olyan,63,1,ADV,0,o,n,0
le,64,1,ADV,1,l,e,0
sem,65,1,ADV,1,s,m,0
úr,66,1,NOUN,0,ú,r,0
ért,67,1,VERB,0,é,t,0
gondol,68,1,VERB,0,g,l,0
így,69,1,ADV,0,í,gy,0
ott,70,1,ADV,0,o,t,0
fel,71,1,ADV,1,f,l,0
volna,72,1,AUX,0,v,a,0
oké,73,1,CCONJ,1,o,é,0
ő,74,1,PRON,0,ő,ő,0
köszön,75,1,VERB,0,k,n,0
majd,76,1,ADV,0,m,d,0
vár,77,1,VERB,0,v,r,0
igaz,78,1,ADJ,0,i,z,0
hát,79,1,CCONJ,1,h,t,0
sok,80,1,NUM,0,s,k,0
dolog,81,1,NOUN,0,d,g,0
ők,82,1,PRON,0,ő,k,0
nagy,83,1,ADJ,0,n,gy,0
hol,84,1,ADV,0,h,l,0
talán,85,1,ADV,0,t,n,0
mindig,86,1,ADV,0,m,g,0
ad,87,1,VERB,0,a,d,0
idő,88,1,NOUN,0,i,ő,0
kis,89,1,ADJ,0,k,s,0
biztos,90,1,ADJ,0,b,s,0
vesz,91,1,VERB,0,v,sz,0
hé,92,1,INTJ,0,h,é,0
valaki,93,1,PRON,0,v,i,0
hagy,94,1,VERB,0,h,gy,0
élet,95,1,NOUN,0,é,t,0
nap,96,1,ADV,0,n,p,0
amikor,97,1,ADV,0,a,r,0
elég,98,1,ADJ,0,e,g,0
áll,99,1,VERB,0,á,l,0
isten,100,1,NOUN,0,i,n,0
szóval,101,2,ADV,0,sz,l,0
apa,102,2,NOUN,0,a,a,0
ide,103,2,ADV,0,i,e,0
egész,104,2,ADJ,0,e,sz,0
vissza,105,2,ADV,1,v,a,0
más,106,2,PRON,0,m,s,0
kicsi,107,2,ADJ,0,k,i,0
marad,108,2,VERB,0,m,d,0
tényleg,109,2,ADV,0,t,g,0
milyen,110,2,PRON,0,m,n,0
két,111,2,NUM,0,k,t,0
év,112,2,NOUN,0,é,v,0
ilyen,113,2,PRON,0,i,n,0
ön,114,2,PRON,0,ö,n,0
hall,115,2,VERB,0,h,l,0
baj,116,2,NOUN,0,b,j,0
ma,117,2,ADV,0,m,a,0
több,118,2,NUM,0,t,b,0
sajnál,119,2,VERB,0,s,l,0
