lemma,translation,language,is_primary,provenance
Amerika,Amerika,hr,1,reviewed
Isten,Bog,hr,1,reviewed
Krisztus,Krist,hr,1,reviewed
London,London,hr,1,reviewed
Párizs,Pariz,hr,1,reviewed
USA,SAD,hr,1,reviewed
abbahagy,prestati,hr,1,reviewed
ablak,prozor,hr,1,reviewed
abszolút,apsolutno,hr,1,confirmed
ad,dati,hr,1,reviewed
adag,porcija,hr,1,confirmed
adag,doza,hr,0,confirmed
adat,podatak,hr,1,confirmed
adat,podaci,hr,0,reviewed
addig,dotad,hr,1,reviewed
addig,dotada,hr,0,reviewed
addigra,dotad,hr,1,confirmed
addigra,tada,hr,0,corpus_only
adhat,može dati,hr,1,confirmed
admirális,admiral,hr,1,confirmed
adott,dat,hr,1,reviewed
adott,podario,hr,0,corpus_only
aggód,brinuti se,hr,1,reviewed
aggódik,brinuti se,hr,1,reviewed
aggódsz,brinuti se,hr,1,confirmed
aggódsz,brineš,hr,0,corpus_only
agy,mozak,hr,1,confirmed
aha,aha,hr,1,reviewed
ahelyett,umjesto toga,hr,1,confirmed
ahelyett,umjesto,hr,0,reviewed
ahogy,kako,hr,1,reviewed
ahogyan,kako,hr,1,confirmed
ahol,gdje,hr,1,reviewed
ahonnan,odakle,hr,1,confirmed
ahova,kamo,hr,1,confirmed
ahová,kamo,hr,1,confirmed
ajtó,vrata,hr,1,reviewed
ajándék,poklon,hr,1,reviewed
ajánl,preporučiti,hr,1,confirmed
ajánl,ponuditi,hr,0,confirmed
ajánl,nudi,hr,0,reviewed
ajánlat,ponuda,hr,1,confirmed
akad,naći se,hr,1,confirmed
akad,pojaviti se,hr,0,confirmed
akad,nađe,hr,0,corpus_only
akar,htjeti,hr,1,reviewed
akció,akcija,hr,1,confirmed
aki,tko,hr,1,reviewed
akkor,onda,hr,1,reviewed
akkora,tolik,hr,1,confirmed
akkora,veličine,hr,0,corpus_only
akkoriban,tada,hr,1,confirmed
akkoriban,tad,hr,0,reviewed
akár,čak,hr,1,reviewed
akárki,bilo tko,hr,1,confirmed
akárki,tkogod,hr,0,reviewed
akármi,bilo što,hr,1,confirmed
akármi,štogod,hr,0,reviewed
alacsony,nizak,hr,1,confirmed
alacsony,prenizak,hr,0,corpus_only
alak,lik,hr,1,confirmed
alak,oblik,hr,0,confirmed
alakult,nastati,hr,1,confirmed
alakult,formirati se,hr,0,confirmed
alakult,ispalo,hr,0,corpus_only
alap,temelj,hr,1,reviewed
alap,osnova,hr,0,reviewed
alapos,temeljit,hr,1,confirmed
alapos,temeljan,hr,0,reviewed
alatt,pod,hr,1,reviewed
alfa,alfa,hr,1,confirmed
alig,jedva,hr,1,reviewed
alkalmas,prikladan,hr,1,confirmed
alkalmas,pogodan,hr,0,confirmed
alkalmas,kvalificirana,hr,0,corpus_only
alkalom,prilika,hr,1,reviewed
alkalom,prigoda,hr,0,reviewed
alku,dogovor,hr,1,confirmed
