lemma,first_singular,second_singular,third_singular,first_plural,second_plural,third_plural,provenance
van,vagyok,vagy,van,vagyunk,vagytok,vannak,manual
tud,tudok,tudsz,tud,tudunk,tudtok,tudnak,wiktionary
lesz,leszek,leszel,lesz,leszünk,lesztek,lesznek,wiktionary
kell,kellek,kellesz,kell,kellünk,kelletek,kellenek,wiktionary
mond,mondok,mondasz,mond,mondunk,mondotok,mondanak,wiktionary
akar,akarok,akarsz,akar,akarunk,akartok,akarnak,wiktionary
jön,jövök,jössz,jön,jövünk,jöttök,jönnek,wiktionary
megy,megyek,mész,megy,megyünk,mentek,mennek,wiktionary
lát,látok,látsz,lát,látunk,láttok,látnak,wiktionary
hisz,hiszek,hiszel,hisz,hiszünk,hisztek,hisznek,wiktionary
nincs,nem vagyok,nem vagy,nincs,nem vagyunk,nem vagytok,nincsenek,manual
tesz,teszek,teszel,tesz,teszünk,tesztek,tesznek,wiktionary
csinál,csinálok,csinálsz,csinál,csinálunk,csináltok,csinálnak,wiktionary
szeret,szeretek,szeretsz,szeret,szeretünk,szerettek,szeretnek,wiktionary
néz,nézek,nézel,néz,nézünk,néztek,néznek,wiktionary
kér,kérek,kérsz,kér,kérünk,kértek,kérnek,wiktionary
lehet,lehetek,lehetsz,lehet,lehetünk,lehettek,lehetnek,manual
beszél,beszélek,beszélsz,beszél,beszélünk,beszéltek,beszélnek,wiktionary
ért,értek,értesz,ért,értünk,értetek,értenek,wiktionary
gondol,gondolok,gondolsz,gondol,gondolunk,gondoltok,gondolnak,wiktionary
köszön,köszönök,köszönsz,köszön,köszönünk,köszöntök,köszönnek,wiktionary
vár,várok,vársz,vár,várunk,vártok,várnak,wiktionary
ad,adok,adsz,ad,adunk,adtok,adnak,wiktionary
vesz,veszek,veszel,vesz,veszünk,vesztek,vesznek,wiktionary
hagy,hagyok,hagysz,hagy,hagyunk,hagytok,hagynak,wiktionary
áll,állok,állsz,áll,állunk,álltok,állnak,wiktionary
marad,maradok,maradsz,marad,maradunk,maradtok,maradnak,wiktionary
hall,hallok,hallasz,hall,hallunk,hallotok,hallanak,wiktionary
sajnál,sajnálok,sajnálsz,sajnál,sajnálunk,sajnáltok,sajnálnak,wiktionary
talál,találok,találsz,talál,találunk,találtok,találnak,wiktionary
tart,tartok,tartasz,tart,tartunk,tartotok,tartanak,wiktionary
hív,hívok,hívsz,hív,hívunk,hívtok,hívnak,wiktionary
segít,segítek,segítesz,segít,segítünk,segítetek,segítenek,wiktionary
kap,kapok,kapsz,kap,kapunk,kaptok,kapnak,wiktionary
érez,érzek,érzel,érez,érzünk,éreztek,éreznek,wiktionary
figyel,figyelek,figyelsz,figyel,figyelünk,figyeltek,figyelnek,wiktionary
ismer,ismerek,ismersz,ismer,ismerünk,ismertek,ismernek,wiktionary
hoz,hozok,hozol,hoz,hozunk,hoztok,hoznak,wiktionary
nő,növök,nősz,nő,növünk,nőtök,nőnek,wiktionary
dolgozik,dolgozom,dolgozol,dolgozik,dolgozunk,dolgoztok,dolgoznak,wiktionary
él,élek,élsz,él,élünk,éltek,élnek,wiktionary
találkozik,találkozom,találkozol,találkozik,találkozunk,találkoztok,találkoznak,wiktionary
szól,szólok,szólsz,szól,szólunk,szóltok,szólnak,wiktionary
meghal,meghalok,meghalsz,meghal,meghalunk,meghaltok,meghalnak,wiktionary
tűnik,tűnök,tűnsz,tűnik,tűnünk,tűntök,tűnnek,wiktionary
elmegy,elmegyek,elmész,elmegy,elmegyünk,elmentek,elmennek,wiktionary
keres,keresek,keresel,keres,keresünk,kerestek,keresnek,wiktionary
emlékszik,emlékszem,emlékszel,emlékszik,emlékszünk,emlékszetek,emlékszenek,wiktionary
jár,járok,jársz,jár,járunk,jártok,járnak,wiktionary
próbál,próbálok,próbálsz,próbál,próbálunk,próbáltok,próbálnak,wiktionary
jelent,jelentek,jelentesz,jelent,jelentünk,jelentetek,jelentenek,wiktionary
kezd,kezdek,kezdesz,kezd,kezdünk,kezdetek,kezdenek,wiktionary
megvan,megvagyok,megvagy,megvan,megvagyunk,megvagytok,megvannak,manual
megöl,megölök,megölsz,megöl,megölünk,megöltök,megölnek,wiktionary
remél,remélek,remélsz,remél,remélünk,reméltek,remélnek,wiktionary
érdekel,érdeklek,érdekelsz,érdekel,érdeklünk,érdekeltek,érdekelnek,wiktionary
tetszik,tetszek,tetszel,tetszik,tetszünk,tetszetek,tetszenek,wiktionary
ér,érek,érsz,ér,érünk,értek,érnek,wiktionary
visz,viszek,viszel,visz,viszünk,visztek,visznek,wiktionary
elmond,elmondok,elmondasz,elmond,elmondunk,elmondotok,elmondanak,wiktionary
örül,örülök,örülsz,örül,örülünk,örültök,örülnek,wiktionary
történik,történek,történsz,történik,történünk,történtek,történnek,manual
megtalál,megtalálok,megtalálsz,megtalál,megtalálunk,megtaláltok,megtalálnak,wiktionary
kerül,kerülök,kerülsz,kerül,kerülünk,kerültök,kerülnek,wiktionary
öl,ölök,ölsz,öl,ölünk,öltök,ölnek,wiktionary
tehet,tehetek,tehetsz,tehet,tehetünk,tehettek,tehetnek,manual
vigyáz,vigyázok,vigyázol,vigyáz,vigyázunk,vigyáztok,vigyáznak,wiktionary
sincs,sem vagyok,sem vagy,sincs,sem vagyunk,sem vagytok,sincsenek,manual
ül,ülök,ülsz,ül,ülünk,ültök,ülnek,wiktionary
ír,írok,írsz,ír,írunk,írtok,írnak,wiktionary
enged,engedek,engedsz,enged,engedünk,engedtek,engednek,wiktionary
játszik,játszom,játszol,játszik,játszunk,játszotok,játszanak,wiktionary
aggódik,aggódom,aggódsz,aggódik,aggódunk,aggódtok,aggódnak,wiktionary
alszik,alszom,alszol,aluszik,alszunk,alszotok,alszanak,wiktionary
sikerül,sikerülök,sikerülsz,sikerül,sikerülünk,sikerültök,sikerülnek,manual
használ,használok,használsz,használ,használunk,használtok,használnak,wiktionary
megtesz,megteszek,megteszel,megtesz,megteszünk,megtesztek,megtesznek,wiktionary
számít,számítok,számítasz,számít,számítunk,számítotok,számítanak,wiktionary
mehet,mehetek,mehetsz,mehet,mehetünk,mehettek,mehetnek,manual
ég,égek,égsz,ég,égünk,égtek,égnek,wiktionary
működik,működöm,működsz,működik,működünk,működtök,működnek,wiktionary
megért,megértek,megértesz,megért,megértünk,megértetek,megértenek,wiktionary
mutat,mutatok,mutatsz,mutat,mutatunk,mutattok,mutatnak,wiktionary
eszik,eszem,eszel,eszik,eszünk,esztek,esznek,wiktionary
kérdez,kérdezek,kérdezel,kérdez,kérdezünk,kérdeztek,kérdeznek,wiktionary
